ID,Address,Baths,Beds,BuiltInYear,DateOfSale,IsAStudio,LotSize,LotSizeUnit,SalePrice,Size
15104496,"1422 42nd Ave, San Francisco, CA",1.0,3.0,1951.0,11/20/15,0.0,2996.0,sqft,1.22,1325.0
15104676,"1475 37th Ave, San Francisco, CA",1.5,2.0,1937.0,12/7/15,0.0,3049.0,sqft,1.14,1713.0
15104676,"1475 37th Ave, San Francisco, CA",1.5,2.0,1937.0,12/7/15,0.0,3049.0,,1.14,1713.0
15104925,"1459 31st Ave, San Francisco, CA",2.0,4.0,1937.0,11/18/15,0.0,3001.0,sqft,1.29,2281.0
15104925,"1459 31st Ave, San Francisco, CA",2.0,4.0,1937.0,11/18/15,0.0,3001.0,,1.29,2281.0
15105121,"2338 Kirkham St, San Francisco, CA",2.5,2.0,1946.0,11/25/15,0.0,2613.0,,0.9,1305.0
15105121,"2338 Kirkham St, San Francisco, CA",2.5,2.0,1946.0,11/25/15,0.0,2613.0,sqft,0.9,1305.0
15106658,"1527 18th Ave, San Francisco, CA",3.5,4.0,1930.0,12/4/15,0.0,2996.0,sqft,1.48,2125.0
15106658,"1527 18th Ave, San Francisco, CA",3.5,4.0,1930.0,12/4/15,0.0,2996.0,,1.48,2125.0
15106778,"1555 21st Ave, San Francisco, CA",2.0,2.0,1926.0,12/17/15,0.0,3049.0,sqft,1.1,1204.0
15106778,"1555 21st Ave, San Francisco, CA",2.0,2.0,1926.0,12/17/15,0.0,3049.0,,1.1,1204.0
15107313,"1551 32nd Ave, San Francisco, CA",1.0,2.0,1937.0,12/15/15,0.0,2996.0,sqft,0.3125,1300.0
15107313,"1551 32nd Ave, San Francisco, CA",1.0,2.0,1937.0,12/15/15,0.0,2996.0,,0.3125,1300.0
15107396,"1518 34th Ave, San Francisco, CA",3.0,3.0,1935.0,12/9/15,0.0,3049.0,sqft,1.35,1375.0
15107396,"1518 34th Ave, San Francisco, CA",3.0,3.0,1935.0,12/9/15,0.0,3049.0,,1.35,1375.0
15107419,"1573 34th Ave, San Francisco, CA",2.0,3.0,1933.0,11/19/15,0.0,3300.0,,1.62,2400.0
15107419,"1573 34th Ave, San Francisco, CA",2.0,3.0,1933.0,11/19/15,0.0,3300.0,sqft,1.62,2400.0
